symbol,sector,source_index
MMM,Industrials,500
AOS,Industrials,500
ABT,Health Care,500
ABBV,Health Care,500
ACN,Information Technology,500
ADBE,Information Technology,500
AMD,Information Technology,500
AES,Utilities,500
AFL,Financials,500
A,Health Care,500
APD,Materials,500
ABNB,Consumer Discretionary,500
AKAM,Information Technology,500
ALB,Materials,500
ARE,Real Estate,500
ALGN,Health Care,500
ALLE,Industrials,500
LNT,Utilities,500
ALL,Financials,500
GOOGL,Communication Services,500
GOOG,Communication Services,500
MO,Consumer Staples,500
AMZN,Consumer Discretionary,500
AMCR,Materials,500
AEE,Utilities,500
AEP,Utilities,500
AXP,Financials,500
AIG,Financials,500
AMT,Real Estate,500
AWK,Utilities,500
AMP,Financials,500
AME,Industrials,500
AMGN,Health Care,500
APH,Information Technology,500
ADI,Information Technology,500
AON,Financials,500
APA,Energy,500
APO,Financials,500
AAPL,Information Technology,500
AMAT,Information Technology,500
APP,Information Technology,500
APTV,Consumer Discretionary,500
ACGL,Financials,500
ADM,Consumer Staples,500
ARES,Financials,500
ANET,Information Technology,500
AJG,Financials,500
AIZ,Financials,500
T,Communication Services,500
ATO,Utilities,500
ADSK,Information Technology,500
ADP,Industrials,500
AZO,Consumer Discretionary,500
AVB,Real Estate,500
AVY,Materials,500
AXON,Industrials,500
BKR,Energy,500
BALL,Materials,500
BAC,Financials,500
BAX,Health Care,500
BDX,Health Care,500
BRK.B,Financials,500
BBY,Consumer Discretionary,500
TECH,Health Care,500
BIIB,Health Care,500
BLK,Financials,500
BX,Financials,500
XYZ,Financials,500
BNY,Financials,500
BA,Industrials,500
BKNG,Consumer Discretionary,500
BSX,Health Care,500
BMY,Health Care,500
AVGO,Information Technology,500
BR,Industrials,500
BRO,Financials,500
BF.B,Consumer Staples,500
BLDR,Industrials,500
BG,Consumer Staples,500
BXP,Real Estate,500
CHRW,Industrials,500
CDNS,Information Technology,500
CPT,Real Estate,500
COF,Financials,500
CAH,Health Care,500
CCL,Consumer Discretionary,500
CARR,Industrials,500
CVNA,Consumer Discretionary,500
CASY,Consumer Staples,500
CAT,Industrials,500
CBOE,Financials,500
CBRE,Real Estate,500
CDW,Information Technology,500
COR,Health Care,500
CNC,Health Care,500
CNP,Utilities,500
CF,Materials,500
CRL,Health Care,500
SCHW,Financials,500
CHTR,Communication Services,500
CVX,Energy,500
CMG,Consumer Discretionary,500
CB,Financials,500
CHD,Consumer Staples,500
CIEN,Information Technology,500
CI,Health Care,500
CINF,Financials,500
CTAS,Industrials,500
CSCO,Information Technology,500
C,Financials,500
CFG,Financials,500
CLX,Consumer Staples,500
CME,Financials,500
CMS,Utilities,500
KO,Consumer Staples,500
CTSH,Information Technology,500
COHR,Information Technology,500
COIN,Financials,500
CL,Consumer Staples,500
CMCSA,Communication Services,500
FIX,Industrials,500
COP,Energy,500
ED,Utilities,500
STZ,Consumer Staples,500
CEG,Utilities,500
COO,Health Care,500
CPRT,Industrials,500
GLW,Information Technology,500
CPAY,Financials,500
CTVA,Materials,500
CSGP,Real Estate,500
COST,Consumer Staples,500
CRH,Materials,500
CRWD,Information Technology,500
CCI,Real Estate,500
CSX,Industrials,500
CMI,Industrials,500
CVS,Health Care,500
DHR,Health Care,500
DRI,Consumer Discretionary,500
DDOG,Information Technology,500
DVA,Health Care,500
DECK,Consumer Discretionary,500
DE,Industrials,500
DELL,Information Technology,500
DAL,Industrials,500
DVN,Energy,500
DXCM,Health Care,500
FANG,Energy,500
DLR,Real Estate,500
DG,Consumer Staples,500
DLTR,Consumer Staples,500
D,Utilities,500
DPZ,Consumer Discretionary,500
DASH,Consumer Discretionary,500
DOV,Industrials,500
DOW,Materials,500
DHI,Consumer Discretionary,500
DTE,Utilities,500
DUK,Utilities,500
DD,Materials,500
ETN,Industrials,500
EBAY,Consumer Discretionary,500
ECHO,Communication Services,500
ECL,Materials,500
EIX,Utilities,500
EW,Health Care,500
EA,Communication Services,500
ELV,Health Care,500
EME,Industrials,500
EMR,Industrials,500
ETR,Utilities,500
EOG,Energy,500
EQT,Energy,500
EFX,Industrials,500
EQIX,Real Estate,500
EQR,Real Estate,500
ERIE,Financials,500
ESS,Real Estate,500
EL,Consumer Staples,500
EG,Financials,500
EVRG,Utilities,500
ES,Utilities,500
EXC,Utilities,500
EXE,Energy,500
EXPE,Consumer Discretionary,500
EXPD,Industrials,500
EXR,Real Estate,500
XOM,Energy,500
FFIV,Information Technology,500
FDS,Financials,500
FICO,Information Technology,500
FAST,Industrials,500
FRT,Real Estate,500
FDX,Industrials,500
FDXF,Industrials,500
FIS,Financials,500
FITB,Financials,500
FSLR,Information Technology,500
FE,Utilities,500
FISV,Financials,500
FLEX,Information Technology,500
F,Consumer Discretionary,500
FTNT,Information Technology,500
FTV,Industrials,500
FOXA,Communication Services,500
FOX,Communication Services,500
BEN,Financials,500
FCX,Materials,500
GRMN,Consumer Discretionary,500
IT,Information Technology,500
GE,Industrials,500
GEHC,Health Care,500
GEV,Industrials,500
GEN,Information Technology,500
GNRC,Industrials,500
GD,Industrials,500
GIS,Consumer Staples,500
GM,Consumer Discretionary,500
GPC,Consumer Discretionary,500
GILD,Health Care,500
GPN,Financials,500
GL,Financials,500
GDDY,Information Technology,500
GS,Financials,500
HAL,Energy,500
HIG,Financials,500
HAS,Consumer Discretionary,500
HCA,Health Care,500
DOC,Real Estate,500
HSIC,Health Care,500
HSY,Consumer Staples,500
HPE,Information Technology,500
HLT,Consumer Discretionary,500
HD,Consumer Discretionary,500
HONA,Industrials,500
HON,Industrials,500
HRL,Consumer Staples,500
HST,Real Estate,500
HWM,Industrials,500
HPQ,Information Technology,500
HUBB,Industrials,500
HUM,Health Care,500
HBAN,Financials,500
HII,Industrials,500
IBM,Information Technology,500
IEX,Industrials,500
IDXX,Health Care,500
ITW,Industrials,500
INCY,Health Care,500
IR,Industrials,500
PODD,Health Care,500
INTC,Information Technology,500
IBKR,Financials,500
ICE,Financials,500
IFF,Materials,500
IP,Materials,500
INTU,Information Technology,500
ISRG,Health Care,500
IVZ,Financials,500
