symbol,buyable,score,fail_reasons,market_cap,trailing_pe,price_to_book,current_ratio,debt_to_equity,return_on_equity,gross_margin,operating_margin,free_cash_flow,dividend_yield,consecutive_positive_earnings_years
HCI,False,95.28161516666668,"graham_current_ratio,graham_earnings_stability",2288751616.0,7.9344544,2.1246867,0.865,0.05722000000000001,0.34974998,0.59726,0.45431,423198496.0,0.0087,3.0
EXEL,False,93.27848232959622,graham_pe_times_pb,12641822720.0,16.044025,6.8871493,3.456,0.08999,0.44393003,0.96483004,0.39513,739715136.0,,4.0
INVA,False,91.6071718472167,graham_size,1521489920.0,4.886311,1.2404287,16.007,0.26859,0.36676,0.72670996,0.43277,110332496.0,,4.0
ADBE,False,90.78355000000002,"graham_current_ratio,graham_pe_times_pb",103310245888.0,14.868422,9.00336,0.751,0.61443,0.62953997,0.89404,0.35327998,9218374656.0,,4.0
YOU,False,88.17845531135393,"graham_current_ratio,graham_earnings_stability,graham_pe,graham_pe_times_pb",6099600384.0,30.351349,24.858881,1.04,0.45141,1.19174,0.66656,0.29865,418440384.0,0.0127,3.0
TDC,False,87.61760714285714,graham_current_ratio,2524950016.0,5.7157893,4.2992873,0.915,0.16695000000000002,1.19116,0.61325,0.11951,348500000.0,,4.0
NFLX,False,86.95515070991617,"graham_current_ratio,graham_pe,graham_pe_times_pb",324454154240.0,24.503143,10.760944,1.142,0.55236,0.49541,0.49118,0.33381,25387552768.0,,4.0
QLYS,False,86.72773240897583,"graham_current_ratio,graham_pe,graham_pe_times_pb",6333778944.0,31.169846,11.084745,1.384,0.09498,0.38592,0.83417,0.33979,244382624.0,,4.0
DECK,False,85.36567533725065,graham_pe_times_pb,12344885248.0,12.894736,5.3849354,2.747,0.20521,0.42558,0.57804,0.15233,871420352.0,,4.0
PEGA,False,85.04549294285715,"graham_current_ratio,graham_earnings_stability,graham_pe_times_pb",5206704640.0,17.994318,9.28739,1.059,0.12851,0.54693,0.75573,0.046040002,507401984.0,0.0037,3.0
GEN,False,85.00000000000001,"graham_current_ratio,graham_debt_to_equity,graham_pe_times_pb",16772408320.0,16.385965,6.3193507,0.466,3.07831,0.41944,0.78007007,0.35554,1547124992.0,0.0176,4.0
FHI,False,84.80347738241079,graham_pe_times_pb,4781244416.0,11.903346,3.6519163,2.592,0.32354,0.31137,0.69044,0.27722,371463872.0,0.0225,4.0
NEM,False,84.62583952335758,"graham_earnings_stability,graham_pe_times_pb",125452599296.0,15.013871,3.5775242,2.546,0.15807000000000002,0.25905,0.68041,0.51569,8815875072.0,0.0088,2.0
CARG,False,83.78215314337604,graham_pe_times_pb,3268996864.0,18.917526,12.402839,1.85,0.7003499999999999,0.53470004,0.92375,0.25275,241320752.0,,4.0
ALL,False,83.71084933333334,"graham_current_ratio,graham_earnings_stability",66147643392.0,5.239335,2.0963051,0.363,0.22261,0.46113998,0.36800998,0.22827,15158625280.0,0.0165,2.0
INCY,False,83.5058762342173,graham_pe_times_pb,24509198336.0,15.403185,3.8303027,4.593,0.00603,0.30667,0.55659,0.41899,1180664576.0,,4.0
APAM,False,83.4094443809524,graham_pe_times_pb,2948126976.0,9.958034,7.019101,3.007,0.57111,0.64552003,0.45593,0.27482998,291218624.0,0.08199999999999999,4.0
APA,False,82.66614999999999,graham_current_ratio,14217265152.0,8.561182,2.0267706,0.946,0.48854,0.26659,0.78255,0.56331,2146749952.0,0.024700000000000003,4.0
HRMY,True,82.58763442857142,,2241518848.0,12.456311,2.2387018,3.479,0.16030999999999998,0.20456,0.75424004,0.34183997,182835504.0,,4.0
PRI,False,82.51435,graham_pe_times_pb,9584066560.0,12.516077,3.8734233,3.73,0.71521,0.32966,0.72097,0.31542,1038982144.0,0.015300000000000001,4.0
PTC,False,82.38590679369668,"graham_current_ratio,graham_pe_times_pb",16169604096.0,14.467961,4.7550974,1.025,0.46335,0.35053003,0.84501,0.28232,1031425152.0,,4.0
IDCC,False,81.83494276869709,"graham_pe,graham_pe_times_pb",8813784064.0,40.228508,7.331545,1.743,0.33401000000000003,0.26403,0.82498,0.53518003,600847744.0,0.008100000000000001,4.0
ZTS,False,81.78519368985422,"graham_debt_to_equity,graham_pe_times_pb",30041356288.0,11.859706,9.274141,3.084,2.9399599999999997,0.64911,0.71738,0.40721,2016999936.0,0.0287,4.0
GDDY,False,81.59585628571429,"data_invalid_outlier:debt_to_equity,graham_current_ratio,graham_debt_to_equity,graham_pe_times_pb",11912482816.0,13.976226,1774.7169,0.632,573.3433,4.42861,0.63802,0.27056998,1204950016.0,,4.0
KNSL,False,81.42671666666666,"graham_current_ratio,graham_pe_times_pb",8562637312.0,15.249899,4.207445,0.194,0.11033,0.30268,0.31142,0.40678,982102720.0,0.0026,4.0
WH,False,81.34039095441065,"graham_current_ratio,graham_debt_to_equity,graham_pe,graham_pe_times_pb",5402569728.0,26.376812,11.375,0.988,5.57292,0.39429,0.62835,0.47733003,362375008.0,0.023399999999999997,4.0
NVDA,False,81.13698461939414,"graham_pe,graham_pe_times_pb",5463531323392.0,34.543644,27.951675,3.441,0.06555,1.14288,0.74144995,0.65596,46335873024.0,0.0044,4.0
AMP,False,80.82050850962655,graham_pe_times_pb,50120146944.0,13.69162,7.8774276,2.182,0.67578,0.63432,0.54932,0.30719998,2903124992.0,0.011899999999999999,4.0
MU,False,80.72853299606415,"graham_earnings_stability,graham_pe,graham_pe_times_pb",1138162925568.0,22.794956,11.295915,3.425,0.0633,0.66638,0.72569,0.80370003,7639499776.0,0.0005,2.0
BMY,False,80.27969165534589,"graham_debt_to_equity,graham_earnings_stability,graham_pe_times_pb",130631598080.0,14.085903,5.853547,1.532,2.01859,0.46598998,0.71661,0.34418,8114375168.0,0.0395,1.0
