symbol,buyable,score,fail_reasons,market_cap,trailing_pe,price_to_book,current_ratio,debt_to_equity,return_on_equity,gross_margin,operating_margin,free_cash_flow,dividend_yield,consecutive_positive_earnings_years
HCI,False,97.8391,"graham_current_ratio,graham_earnings_stability",2313812992.0,7.946734,2.1473334,1.004,0.057460000000000004,0.38464,0.59559,0.47886002,449517504.0,0.0087,3.0
INVA,False,93.01912309369214,graham_size,1572126336.0,3.4025557,1.171746,21.134,0.24702000000000002,0.50725,0.74100995,0.40108,105171624.0,,4.0
ADBE,False,90.78355000000002,"graham_current_ratio,graham_pe_times_pb",98198396928.0,14.124642,8.557868,0.751,0.61443,0.62953997,0.89404,0.35327998,9218374656.0,,4.0
EXEL,False,89.96880429667583,graham_pe_times_pb,13940153344.0,18.364239,7.2686763,3.258,0.08757999999999999,0.40987,0.96444,0.41149,629119360.0,,4.0
QLYS,False,89.0616024896748,"graham_current_ratio,graham_pe,graham_pe_times_pb",4886711808.0,24.912027,8.614353,1.43,0.09165,0.37724,0.83178,0.3502,237364256.0,,4.0
NFLX,False,87.39340952380952,"graham_current_ratio,graham_pe,graham_pe_times_pb",303447080960.0,22.916666,10.064218,1.142,0.55236,0.49541,0.49118,0.33381,25387552768.0,,4.0
IDCC,False,87.08667217352206,"graham_pe,graham_pe_times_pb",7397751296.0,27.260475,6.707637,1.878,0.36385,0.35902,0.84656996,0.40046,462150016.0,0.010700000000000001,4.0
NEM,False,87.0577,"graham_earnings_stability,graham_pe_times_pb",99447472128.0,11.901639,2.8359375,2.546,0.15807000000000002,0.25905,0.68041,0.51569,8815875072.0,0.011399999999999999,2.0
FHI,False,86.2729,graham_pe_times_pb,4509211648.0,11.53398,3.5534818,3.276,0.35674,0.3376,0.68292,0.26376,364816384.0,0.0233,4.0
PTC,False,86.23482426403297,"graham_current_ratio,graham_pe_times_pb",15600211968.0,13.099902,4.041414,1.234,0.3578,0.344,0.84713,0.41625,986047232.0,,4.0
HLNE,False,86.20430075540445,graham_pe_times_pb,4913076736.0,14.944257,4.22392,3.267,0.24308,0.32439,0.6053,0.42490003,305028384.0,0.0271,4.0
PEGA,False,85.04549294285715,"graham_current_ratio,graham_earnings_stability,graham_pe_times_pb",4797336064.0,16.579546,8.557184,1.059,0.12851,0.54693,0.75573,0.046040002,507401984.0,0.0039000000000000003,3.0
GEN,False,84.90774775000001,"graham_current_ratio,graham_debt_to_equity,graham_pe_times_pb",16164574208.0,17.200636,6.185295,0.399,3.16354,0.39876997,0.7846,0.63367003,1422249984.0,0.0181,4.0
INCY,False,83.30654700052395,graham_pe_times_pb,24921686016.0,15.66242,4.721945,4.593,0.00603,0.30667,0.55659,0.41899,1180664576.0,,4.0
BMY,False,81.96635034132314,"graham_current_ratio,graham_debt_to_equity,graham_earnings_stability,graham_pe_times_pb",131305193472.0,18.011206,6.542532,1.42,2.30967,0.38731998,0.71981,0.33040002,9851750400.0,0.039900000000000005,1.0
GPOR,False,81.82028444559542,"graham_current_ratio,graham_earnings_stability",2786911488.0,5.096615,1.5496138,0.559,0.45587000000000005,0.33986,0.69308,0.50863,146801504.0,,1.0
